UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA
RO,11,00015,Alta Floresta D'Oeste,22853
RO,11,00023,Ariquemes,108573
RO,11,00031,Cabixi,5690
RO,11,00049,Cacoal,97637
RO,11,00056,Cerejeiras,16975
RO,11,00064,Colorado do Oeste,16588
RO,11,00072,Corumbiara,8001
RO,11,00080,Costa Marques,13522
RO,11,00098,Espigão D'Oeste,32717
RO,11,00106,Guajará-Mirim,43553
RO,11,00114,Jaru,55583
RO,11,00122,Ji-Paraná,139359
RO,11,00130,Machadinho D'Oeste,34063
RO,11,00148,Nova Brasilândia D'Oeste,16504
RO,11,00155,Ouro Preto do Oeste,38681
RO,11,00189,Pimenta Bueno,39053
RO,11,00205,Porto Velho,514873
RO,11,00254,Presidente Médici,20518
RO,11,00262,Rio Crespo,3753
RO,11,00288,Rolim de Moura,62559
RO,11,00296,Santa Luzia D'Oeste,7877
RO,11,00304,Vilhena,108528
RO,11,00320,São Miguel do Guaporé,22267
RO,11,00338,Nova Mamoré,28496
RO,11,00346,Alvorada D'Oeste,13837
RO,11,00379,Alto Alegre dos Parecis,12263
RO,11,00403,Alto Paraíso,17463
RO,11,00452,Buritis,30729
RO,11,00502,Novo Horizonte do Oeste,8056
RO,11,00601,Cacaulândia,4345
RO,11,00700,Campo Novo de Rondônia,9225
RO,11,00809,Candeias do Jamari,24163
RO,11,00908,Castanheiras,3456
RO,11,00924,Chupinguaia,10129
RO,11,00940,Cujubim,15883
RO,11,01005,Governador Jorge Teixeira,8420
RO,11,01104,Itapuã do Oeste,9209
RO,11,01203,Ministro Andreazza,6657
RO,11,01302,Mirante da Serra,9740
RO,11,01401,Monte Negro,12241
RO,11,01435,Nova União,6577
RO,11,01450,Parecis,4390
RO,11,01468,Pimenteiras do Oeste,2311
RO,11,01476,Primavera de Rondônia,3279
RO,11,01484,São Felipe D'Oeste,5605
RO,11,01492,São Francisco do Guaporé,17511
RO,11,01500,Seringueiras,12954
RO,11,01559,Teixeirópolis,4536
RO,11,01609,Theobroma,8540
RO,11,01708,Urupá,11377
RO,11,01757,Vale do Anari,8265
RO,11,01807,Vale do Paraíso,6843
AC,12,00013,Acrelândia,14657
AC,12,00054,Assis Brasil,8573
AC,12,00104,Brasiléia,27841
AC,12,00138,Bujari,13766
AC,12,00179,Capixaba,10922
AC,12,00203,Cruzeiro do Sul,98382
AC,12,00252,Epitaciolândia,19739
AC,12,00302,Feijó,37644
AC,12,00328,Jordão,9787
AC,12,00336,Mâncio Lima,20329
AC,12,00344,Manoel Urbano,12776
AC,12,00351,Marechal Thaumaturgo,17951
AC,12,00385,Plácido de Castro,17127
AC,12,00393,Porto Walter,11275
AC,12,00401,Rio Branco,387852
AC,12,00427,Rodrigues Alves,15537
